Parent	Rule	D1	D2	revisedXrule	revisedYrule	revisedZrule
ABplaaa	0	ABplaaaa	ABplaaap	0.817550687	-0.083802413	-0.408352594
ABplaaaa	0	ABplaaaaa	ABplaaaap	0.766321692	0.190471557	-0.515855474
ABplaaaaa	0	ABplaaaaaa	ABplaaaaap	0.902012254	0.050114521	-0.078902993
ABplaaaaaa	0	ABplaaaaaaa	ABplaaaaaap	0.923153674	0.138208902	-0.023072422
ABplaaaaap	0	ABplaaaaapa	ABplaaaaapp	0.700203515	0.040407773	-0.58315197
ABplaaaap	0	ABplaaaapa	ABplaaaapp	0.90227981	0.053551819	-0.146412311
ABplaaap	0	ABplaaapa	ABplaaapp	0.849559422	0.200224954	0.170987761
ABplaaapa	0	ABplaaapaa	ABplaaapap	0.925258716	-0.035669089	0.05449431
ABplaaapp	0	ABplaaappa	ABplaaappp	0.91531276	0.009786305	-0.01141883
ABplaap	0	ABplaapa	ABplaapp	0.915664801	0.036632035	0.009048899
ABplaapa	0	ABplaapaa	ABplaapap	0.800574526	0.317964803	-0.308153899
ABplaapaa	0	ABplaapaaa	ABplaapaap	0.831027498	0.173808042	-0.253130502
ABplaapaaa	0	ABplaapaaaa	ABplaapaaap	0.507660512	0.619311253	-0.489060357
ABplaapaap	0	ABplaapaapa	ABplaapaapp	0.884574446	0.196596188	-0.1343639
ABplaapap	0	ABplaapapa	ABplaapapp	0.860453954	-0.140458548	-0.049254766
ABplaapapa	0	ABplaapapaa	ABplaapapap	0.611952131	0.556094582	-0.359608256
ABplaapapp	0	ABplaapappa	ABplaapappp	0.777194848	0.478733233	-0.041556987
ABplaapp	0	ABplaappa	ABplaappp	0.871192788	0.269523422	0.152392954
ABplaappa	0	ABplaappaa	ABplaappap	0.865458532	-0.026683535	0.019615943
ABplaappp	0	ABplaapppa	ABplaapppp	0.917948384	0.050363491	0.17537141
ABplap	0	ABplapa	ABplapp	0.49611591	0.566416219	0.446081644
ABplapa	0	ABplapaa	ABplapap	0.842165545	0.193264343	0.195356087
ABplapaa	0	ABplapaaa	ABplapaap	0.890921939	0.204041463	0.071053247
ABplapaaa	0	ABplapaaaa	ABplapaaap	0.859819391	-0.052375945	-0.009434254
ABplapaaaa	0	ABplapaaaaa	ABplapaaaap	0.385081084	0.041909187	-0.816962906
ABplapaaap	0	ABplapaaapa	ABplapaaapp	0.796738466	0.359552095	-0.287977194
ABplapaap	0	ABplapaapa	ABplapaapp	0.841851225	0.197846613	0.336492935
ABplapap	0	ABplapapa	ABplapapp	0.866962478	0.332878006	0.093365443
ABplapapa	0	ABplapapaa	ABplapapap	0.80667283	-0.012950805	0.451694953
ABplapapp	0	ABplapappa	ABplapappp	0.380771285	-0.24713435	0.82215934
ABplapappp	0	ABplapapppa	ABplapapppp	0.352428509	-0.399309424	0.694680405
ABplapp	0	ABplappa	ABplappp	0.816784166	0.02810733	0.418742407
ABplappa	0	ABplappaa	ABplappap	0.917392887	0.088691563	0.149847593
ABplappaa	0	ABplappaaa	ABplappaap	0.807650372	-0.134790824	0.368633884
ABplappap	0	ABplappapa	ABplappapp	0.814072469	-0.090893968	0.416468031
ABplappp	0	ABplapppa	ABplapppp	0.840498564	-0.003223782	0.355771906
ABplapppa	0	ABplapppaa	ABplapppap	0.668170364	-0.40553698	0.492842982
ABplapppaa	0	ABplapppaaa	ABplapppaap	0.76473452	-0.173412085	0.5073974
ABplapppap	0	ABplapppapa	ABplapppapp	0.252727123	-0.646405292	0.56318341
ABplapppp	0	ABplappppa	ABplappppp	0.154615795	-0.717968568	0.401766359
ABplp	0	ABplpa	ABplpp	0.83123239	-0.178288471	-0.237682455
ABplpa	0	ABplpaa	ABplpap	0.566887058	0.104226378	0.735871651
ABplpaa	0	ABplpaaa	ABplpaap	0.905199809	-0.114098682	-0.081510533
ABplpaaa	0	ABplpaaaa	ABplpaaap	0.788396112	0.333023216	-0.050718431
ABplpaaaa	0	ABplpaaaaa	ABplpaaaap	0.819522656	0.322004609	0.233994973
ABplpaaaaa	0	ABplpaaaaaa	ABplpaaaaap	0.840536145	0.382901535	-0.125816461
ABplpaaaap	0	ABplpaaaapa	ABplpaaaapp	0.798788593	0.222922364	-0.431934486
ABplpaaap	0	ABplpaaapa	ABplpaaapp	0.814452537	0.255660828	-0.319414803
ABplpaaapa	0	ABplpaaapaa	ABplpaaapap	0.675823163	0.38312883	-0.439717981
ABplpaaapp	0	ABplpaaappa	ABplpaaappp	0.783579153	0.256233207	-0.367164299
ABplpaap	0	ABplpaapa	ABplpaapp	0.826209883	0.176113153	0.126565266
ABplpaapa	0	ABplpaapaa	ABplpaapap	0.818625754	0.253885525	-0.338465894
ABplpaapaa	0	ABplpaapaaa	ABplpaapaap	0.544678782	0.498567427	-0.513700697
ABplpaapap	0	ABplpaapapa	ABplpaapapp	0.363820478	0.147055645	0.882274249
ABplpaapp	0	ABplpaappa	ABplpaappp	0.89944589	0.122865574	-0.045233369
ABplpaappa	0	ABplpaappaa	ABplpaappap	0.632600394	0.068362412	-0.689113677
ABplpaappp	0	ABplpaapppa	ABplpaapppp	0.860244895	0.085892193	0.140528989
ABplpap	0	ABplpapa	ABplpapp	0.869627408	-0.016678298	0.200358165
ABplpapa	0	ABplpapaa	ABplpapap	0.896746981	0.138856318	-0.049861896
ABplpapaa	0	ABplpapaaa	ABplpapaap	0.89216004	0.203072599	-0.082790517
ABplpapaaa	0	ABplpapaaaa	ABplpapaaap	0.870771819	0.181649263	-0.124760928
ABplpapaap	0	ABplpapaapa	ABplpapaapp	0.899062686	0.164363752	-0.062627397
ABplpapap	0	ABplpapapa	ABplpapapp	0.886734227	-0.21149111	0.040103386
ABplpapapa	0	ABplpapapaa	ABplpapapap	0.868800524	0.066623143	0.132122919
